Author  Notes,Format,Title,title_href,Year,Cause
Loosely based on the John Wyndham novel of the same name The film Triffids are a venomous spaceborne plant and arrive on Earth via meteorites,Film,The Day of the Triffids,/wiki/The_Day_of_the_Triffids_(1962_film),1962,Social CollapseImpact event
Brian Aldiss  Presents a dying Earth where vegetation dominates and animal life is all but extinct Originally published in the United States in abridged form as The Long Hot Afternoon of Earth,Novel,Hothouse,/wiki/Hothouse_(novel),1962,Eco
JG Ballard  Climate change causes flooding,Novel,The Drowned World,/wiki/The_Drowned_World,1962,Eco
Anthony Burgess  Global overpopulation and famine leads to mass chaos,Novel,The Wanting Seed,/wiki/The_Wanting_Seed,1962,Eco
John Christopher  A decrease in radiation from the sun causes a new ice age,Novel,The World in Winter UKThe Long Winter US,/wiki/The_World_in_Winter,1962,Eco
Wylie Philip,Novel,Triumph,/w/index.php?title=Triumph_(Philip_Wylie_novel)&action=edit&redlink=1,1963,War
Kurt Vonnegut  All the water on Earth becomes IceNine,Novel,Cats Cradle35,"/wiki/Cat%27s_Cradle,#cite_note-Science_Fiction_1979.2C_page_195-35",1963,Eco
Comic books series by Gold Key Comics,Novel,Magnus Robot Fighter,"/wiki/Magnus,_Robot_Fighter",1963,Technology
War novel by Ralph Peters Islamic extremists launch a series of dirty bomb attacks against the West which results in a backlash against Muslims A radical Christian government takes over the US and sends the Army Marines and a National Guard full of evangelicals to invade and retake a longnuked Israel,Novel,The War After Armageddon,,2009,War Terrorism
Stanley Kubrick  adapting the novel Red Alert by Peter George,Film,Dr Strangelove35,"/wiki/Dr._Strangelove_or:_How_I_Learned_to_Stop_Worrying_and_Love_the_Bomb,#cite_note-Science_Fiction_1979.2C_page_195-35",1964,War
This is the first film adaptation based on Richard Mathesons 1954 novel I Am Legend,Film,The Last Man on Earth,/wiki/The_Last_Man_on_Earth_(1964_film),1964,Disease
3637,Film,The Time Travelerscitation needed,"/wiki/The_Time_Travelers_(1964_film),/wiki/Wikipedia:Citation_needed",1964,War
Deep drilling project goes wrong,Film,Crack in the World,/wiki/Crack_in_the_World,1964,Eco
Pangborn Edgar,Novel,Davy,/wiki/Davy_(novel),1964,War
Heinlein Robert A,Novel,Farnhams Freehold,/wiki/Farnham%27s_Freehold,1964,War
Dick Philip K,Novel,The Penultimate Truth,/wiki/The_Penultimate_Truth,1964,War
The Doctor Who serial As well as other Alien invasions in the 19631989 run including in 1966 The Tenth Planet 1968 The Web of Fear  in the same year The Invasion in 1970 Spearhead from Space 1971 Terror of the Autons this list is not complete but can be said to represent milestone episodes Some examples from the relaunch are in 2006 Army of Ghosts and Doomsday and in 2007 The Sound of Drums and Last of the Time Lords though it could be argued that only the Master is alien,Television,The Dalek Invasion of Earth,/wiki/The_Dalek_Invasion_of_Earth,1964,Aliens
Earth starts hurtling toward sun as a result of mans nuclear testing,Film,The Day the Earth Caught Fire,/wiki/The_Day_the_Earth_Caught_Fire,1964,Eco
JG Ballard  A super drought evaporates all water on earth,Novel,The Drought,/wiki/The_Drought,1964,Eco
Brian Aldiss  The human race becomes sterile,Novel,Greybeard,/wiki/Greybeard,1964,Eco
Robert Silverberg  Another iceage has engulfed the earth A group from New York travels over the ice to London in the year 2650,Novel,Time of the Great Freeze,/wiki/Time_of_the_Great_Freeze,1964,Eco
Soldier Cited as an influence on the movie The Terminator Bits of Love The Human Factor,Television,The Outer Limits,/wiki/The_Outer_Limits_(1963_TV_series),19642002,War
Peter Watkins,Television,The War Game,/wiki/The_War_Game,1965,War
Dick Philip K,Novel,Dr Bloodmoney or How We Got Along After the Bomb,"/wiki/Dr._Bloodmoney,_or_How_We_Got_Along_After_the_Bomb",1965,War
Game by Flying Buffalo A comical cataclysmic card game for 26 players of all ages,Game,Nuclear War Card Game,/wiki/Nuclear_War_(card_game),1965,War
Thomas Disch  Alien flora is seeded on Earth and quickly comes to dominate all landmasses threatening Human extinction,Novel,The Genocides,/wiki/The_Genocides,1965,Aliens
John Christopher  Civilization destroyed by massive worldwide earthquakes,Novel,A Wrinkle in the Skin The Ragged EdgeUS,/wiki/A_Wrinkle_in_the_Skin,1965,Eco
,Film,Alphaville une trange aventure de Lemmy Caution,"/wiki/Alphaville,_une_%C3%A9trange_aventure_de_Lemmy_Caution",1965,Technology
Television adaptation of the Novel of the same name,Television,Ape and Essence,,1966,War
Harlan Ellison,Story,I Have No Mouth and I Must Scream,"/wiki/I_Have_No_Mouth,_and_I_Must_Scream",1966,War
Based loosely on BBC Television series but not part of the official canon,Film,Daleks  Invasion Earth 2150 AD,/wiki/Daleks_-_Invasion_Earth_2150_AD,1966,Aliens
The television series created by Quinn Martin and Larry Cohen,Television,The Invaders,/wiki/The_Invaders,1966,Aliens
JG Ballard  The jungle in Africa starts to crystallize all life and expands outward,Novel,The Crystal World,/wiki/The_Crystal_World,1966,Eco
Harry Harrison  Made into the 1973 film Soylent Green directed by Richard Fleischer  showing a world where humanity had become massively overpopulated and a vague ecological disaster is creating a growing dust bowl and the entire economy is collapsing,Novel,Make Room Make Room,/wiki/Make_Room!_Make_Room!,1966,Eco
Dennis Feltham Jones,Novel,Colossus,/wiki/Colossus_(novel),1966,Technology
Czech title Konec srpna v Hotelu Ozon 3839,Film,Late August at the Hotel Ozone,/w/index.php?title=Late_August_at_the_Hotel_Ozone&action=edit&redlink=1,1967,War
A remake of the 1955 Roger Corman film Day the World Ended set in the year 1977 despite the title,Film,In the Year 2889citation needed,"/wiki/In_the_Year_2889,/wiki/Wikipedia:Citation_needed",1967,War
4041,Film,Journey to the Center of Timecitation needed,"/wiki/Journey_to_the_Center_of_Time,/wiki/Wikipedia:Citation_needed",1967,War
Kavan Anna  earth threatened by Nuclear winter,Novel,Ice,/w/index.php?title=Ice_(1967_novel)&action=edit&redlink=1,1967,War
Harlan Ellison,Story,I Have No Mouth and I Must Scream,"/wiki/I_Have_No_Mouth,_and_I_Must_Scream",1967,Technology
Stanisaw Lem  A collection of humorous short stories,Story,The Cyberiad,/wiki/The_Cyberiad,1965,Technology
Series by Fred Saberhagen,Novel,Berserker,/wiki/Berserker_(Saberhagen),19672005,Technology
Adapted from the novel La plante des singes by Pierre Boulle,Film,Planet of the Apes13,"/wiki/Planet_of_the_Apes_(1968_film),#cite_note-books.google.co.uk-13",1968,War
Philip K Dick  basis for the film Blade Runner,Novel,Do Androids Dream of Electric Sheep,/wiki/Do_Androids_Dream_of_Electric_Sheep%3F,1968,War
Martin Caidin,Novel,The God Machine,/wiki/The_God_Machine_(1968_novel),1968,Technology
John Brunner  Set in a future of extreme overpopulation Winner of Hugo Award British Science Fiction award and the French Prix Apollo,Novel,Stand on Zanzibar,/wiki/Stand_on_Zanzibar,1968,Social Collapse
Absurdist comedy film set in a postwar London destroyed by a nuclear bomb in World War III Originally based on a play by Spike Milligan and John Antrobus4344,Film,The Bed Sitting Room42,"/wiki/The_Bed-Sitting_Room_(film),#cite_note-42",1969,War
Four people seek refuge in the basement of a department store following a nuclear explosion,Television,Salve Regina,/wiki/Salve_Regina,1969,War
Roger Zelazny  made into a movie and a Hawkwind song 1977,Novel,Damnation Alley,/wiki/Damnation_Alley,1969,War
Angela Carter,Novel,Heroes and Villains,/wiki/Heroes_and_Villains_(novel),1969,War
Marco Ferreri Italian title Il Seme delluomo 45,Film,The Seed of Man,/wiki/The_Seed_of_Man,1969,Disease
Michael Moorcock  Set in a new ice age on earth,Novel,The Ice Schooner,/w/index.php?title=The_Ice_Schooner&action=edit&redlink=1,1969,Eco
The second film in the Planet of the Apes feature film series,Film,Beneath the Planet of the Apes46,"/wiki/Beneath_the_Planet_of_the_Apes,#cite_note-46",1970,War
Alexander Key,Novel,The Incredible Tide,/wiki/The_Incredible_Tide,1970,War
Kir Bulychev  in Russian language,Novel,The Last War,/w/index.php?title=The_Last_War_(novel)&action=edit&redlink=1,1970,War
Wilson Tucker,Novel,The Year Of The Quiet Sun,/wiki/The_Year_Of_The_Quiet_Sun_(novel),1970,War
The television series by Gerry Anderson Production,Television,UFO,/wiki/UFO_(TV_series),1970,Aliens
Based on the novel The Death of Grass,Film,No Blade of Grass47,"/wiki/No_Blade_of_Grass,#cite_note-47",1970,Eco
Volcanic apocalypse Doctor Who serial Inferno in which attempts to tap the Earths core for power leads to a volcanic apocalypse,Television,Inferno,/wiki/Inferno_(Doctor_Who),1970,Eco
4849,Film,Glen and Randa13,"/wiki/Glen_and_Randa,#cite_note-books.google.co.uk-13",1971,War
An immune survivor of a biologicalnuclear war battles plaguealtered quasivampires bent on erasing all vestiges of science and technology The movie is based on Richard Mathesons 1954 novel I Am Legend,Film,The Omega Man50,"/wiki/The_Omega_Man,#cite_note-50",1971,War
Walker Percy,Novel,Love in the Ruins,/wiki/Love_in_the_Ruins,1971,War
Edmund Cooper,Novel,The Overman Culture,/w/index.php?title=The_Overman_Culture&action=edit&redlink=1,1971,War
Global warming The 1971 TV series Timeslip The Year of the Burn Up  Terraforming causes global warming,Television,Timeslip,/wiki/Timeslip,1971,Eco
Kit Pedler Gerry Davis A microbe designed to eat waste plastic gets loose,Novel,Mutant 59 The Plastic Eater,/w/index.php?title=Mutant_59:_The_Plastic_Eater&action=edit&redlink=1,1971,Eco
Series by David R Bunch,Novel,Moderan,/w/index.php?title=Moderan&action=edit&redlink=1,1971,Technology
Larry Niven,Novel,Inconstant Moon,/wiki/Inconstant_Moon,1971,Sun
Robert Merle,Novel,Malevil,/wiki/Malevil,1972,War
Poul Anderson,Novel,There Will Be Time,/wiki/There_Will_Be_Time,1972,War
,Film,Silent Running,/wiki/Silent_Running,1972,Eco
John Brunner  The United States is overwhelmed by environmental irresponsibility and authoritarianism,Novel,The Sheep Look Up,/wiki/The_Sheep_Look_Up,1972,Eco
Philip Wylie,Novel,The End Of The Dream,/w/index.php?title=The_End_Of_The_Dream&action=edit&redlink=1,1972,Eco
The evangelical Christian film series sometimes referred to as the Mark IV films,Film,A Thief in the Night,/wiki/A_Thief_in_the_Night_(film),1972,Supernatural
The fifth movie in the Planet of the Apes feature film series,Film,Battle for the Planet of the Apescitation needed,"/wiki/Battle_for_the_Planet_of_the_Apes,/wiki/Wikipedia:Citation_needed",1973,War
Gene Roddenberry  later remade as unsuccessful TV pilot Planet Earth,Film,Genesis II51,"/wiki/Genesis_II_(film),#cite_note-51",1973,War
Spanish title El refugio del miedo52,Film,Refuge of Fearcitation needed,"/w/index.php?title=Refuge_of_Fear&action=edit&redlink=1,/wiki/Wikipedia:Citation_needed",1973,War
,Film,Idaho Transfer,/wiki/Idaho_Transfer,1973,Eco
Larry Niven  Collection of short stories,Story,Flight of the Horse,/w/index.php?title=Flight_of_the_Horse&action=edit&redlink=1,1973,Eco
A manga series by Go Nagai that tells the tale of a Japan devastated by a massive earthquake and mass volcanic eruption and isolated from the rest of the world with the remnants of humanity divided between the strong and the weak A sequel to Nagais Devilman series,Comic,Violence Jack,/wiki/Violence_Jack,1973,Eco
Stephen King  An unknown phenomenon makes Earths machines turn against humanity It was later made into the movie Maximum Overdrive which added an alien invasion subplot,Story,Trucks,/wiki/Trucks_(short_story),1973,Technology
Jean Raspail,Novel,The Camp of the Saints,/wiki/The_Camp_of_the_Saints,1973,Human Decline
A Canadianproduced science fiction television series devised by writer Harlan Ellison and broadcast on CTV in Canada and on NBC in the United States,Television,The Starlost,/wiki/The_Starlost,1973,Unspecified
,Television,Casshan,/wiki/Casshan,19731974,Technology
Swiss film French title Le Troisime Cri 5354,Film,The Third Cry,/w/index.php?title=The_Third_Cry&action=edit&redlink=1,1974,War
Unsuccessful TV pilot remake of Genesis II,Television,Planet Earth,/wiki/Planet_Earth_(TV_pilot),1974,War
TV series,Television,Planet of the Apes,/wiki/Planet_of_the_Apes_(TV_series),1974,War
Made for TV movie A mutated virus created by a solar flare destroys virtually all of the human population One family has survived and endeavors to travel across America to their family home,Film,Where Have All The People Gone,/wiki/Where_Have_All_The_People_Gone%3F,1974,Disease
,Film,Prophecies of Nostradamus,/wiki/Prophecies_of_Nostradamus,1974,Eco
John Boorman,Film,Zardoz,/wiki/Zardoz,1974,Human Decline
James Herbert  The last two novels of The Rats trilogy show how after a nuclear war humanity is overthrown by mutated Giant Black Rats,Novel,The Rats trilogy,/wiki/The_Rats_(novel),1974,Monsters
A young man Don Johnson and his dog Tiger the dog actor struggle for survival and encounter strife in a harsh postapocalyptic wasteland where food water and women are scarce Based on the writings of Harlan Ellison5556,Film,A Boy and His Dog13,"/wiki/A_Boy_and_His_Dog,#cite_note-books.google.co.uk-13",1975,War
Surreal French production,Film,Black Mooncitation needed,"/wiki/Black_Moon_(1975_film),/wiki/Wikipedia:Citation_needed",1975,War
57,Film,La citt dellultima paura,/w/index.php?title=La_citt%C3%A0_dell%27ultima_paura&action=edit&redlink=1,1975,War
Daniel Bourla  An American soldier becomes the sole survivor of a nuclear war,Film,The Noahcitation needed,"/wiki/The_Noah,/wiki/Wikipedia:Citation_needed",1975,War
A Doctor Who story that also features alien invasion Guerrillas from the future explain that they are attempting to kill someone because he caused an explosion at the peace conference starting a series of wars that left humanity vulnerable to Dalek conquest58,Television,Day of the Daleks,/wiki/Day_of_the_Daleks,1975,War
Animated TV series,Television,Return to the Planet of the Apes,/wiki/Return_to_the_Planet_of_the_Apes,1975,War
Another unsuccessful TV pilot remake of Genesis II  Planet Earth,Television,Strange New World,/wiki/Strange_New_World_(television_pilot),1975,War
Stephen Goldin,Novel,Caravan,/w/index.php?title=Caravan_(1975_novel)&action=edit&redlink=1,1975,War
Robert Adams  followed by seventeen other books in the horseclans series,Novel,The Coming of the Horseclans,/w/index.php?title=The_Coming_of_the_Horseclans&action=edit&redlink=1,1975,War
Series by Robert Adams  first book 1975,Novel,Horseclans,/wiki/Horseclans,1975,War
Robert C OBrien,Novel,Z for Zachariah,/wiki/Z_for_Zachariah,1975,War
59,Film,The Ultimate Warrior,/wiki/The_Ultimate_Warrior_(1975_film),1975,Disease
O T Nelson,Novel,The Girl Who Owned a City,/wiki/The_Girl_Who_Owned_a_City,1975,Disease
Society is chased into domes by an ecological disaster and holds a ceremonial death ritual for all citizens who reach the age of 30 to control the population A man who formerly helped control the population flees the domed city to avoid his own ceremony,Film,Logans Run,/wiki/Logan%27s_Run,1975,Eco
Samuel R Delany,Novel,Dhalgren,/wiki/Dhalgren,1975,Unspecified
BBC series about the daily struggles of British survivors of a plague which kills most of the world population,Television,Survivors,/wiki/Survivors_(1975_TV_series),19751977,Disease
Amando de Ossorio Spanish title ltimo deseo 6061,Film,The People Who Own the Darkcitation needed,"/w/index.php?title=The_People_Who_Own_the_Dark&action=edit&redlink=1,/wiki/Wikipedia:Citation_needed",1976,War
Philip K Dick  in collaboration with Roger Zelazny,Novel,Deus Irae,/wiki/Deus_Irae,1976,War
Allan W Eckert  The stability of the Earth comes into question,Novel,The HAB Theory,/wiki/The_HAB_Theory,1976,Eco
Poul Anderson  Civilization and a new species has emerged from a deadly Ice Age that has destroyed all previous life,Novel,The Winter of the World,/w/index.php?title=The_Winter_of_the_World&action=edit&redlink=1,1976,Eco
Larry Niven,Novel,A World Out of Time,/wiki/A_World_Out_of_Time,1976,Sun
Pollution The 19761979 TV series Ark II  pollution devastates humanity,Television,Ark II,/wiki/Ark_II,19761979,Eco
A surviving American ICBM crew sets out across the US in an armored vehicle in search of survivors in Albany New York  Based on the novel by Roger Zelazny,Film,Damnation Alley62,"/wiki/Damnation_Alley_(film),#cite_note-62",1977,War
Ralph Bakshi  A good wizard and his evil brother battle some two millennia after Armageddon,Film,Wizards,/wiki/Wizards_(film),1977,War
Larry Niven Jerry Pournelle  A comet impact,Novel,Lucifers Hammer,/wiki/Lucifer%27s_Hammer,1977,Impact Event
Terry Brooks  novel series,Novel,Shannara Series,/wiki/Shannara_Series,1977,War
John Wagner Carlos Ezquerra and Pat Mills,Comic,Judge Dredd,/wiki/Judge_Dredd,1977,War
John Christopher  A virus wipes out the weak and the old until the planet is populated by young teenagers only,Novel,Empty World,/wiki/Empty_World,1977,Disease
William C Heine  The planet is decimated by a virus as told through the eyes of one survivor,Novel,The Last Canadian,/wiki/The_Last_Canadian,1974,Disease
Stephen King  Collected in the book Night Shift,Story,Night Surf,/wiki/Night_Surf,1977,Disease
Short story tells the tale of a virus which turns males into femalehating psychopaths when sexually aroused,Story,The Screwfly Solution,/wiki/The_Screwfly_Solution,1977,Eco
,Film,Deathsportcitation needed,"/wiki/Deathsport,/wiki/Wikipedia:Citation_needed",1978,War
An anime series by Hayao Miyazaki Supermagnetic WMDs devastate Earth and causes virtually all land to be submerged underwater,Television,Future Boy Conan,/wiki/Future_Boy_Conan,1978,War
Also known as Induced Syndrome UK M3 The Gemini Strain USA or Mutation,Film,Plague,/wiki/Plague_(1978_film),1978,Disease
Stephen King,Novel,The Stand,/wiki/The_Stand,1978,Disease
Another film based on the novel The Body Snatchers by Jack Finney,Film,Invasion of the Body Snatchers,/wiki/Invasion_of_the_Body_Snatchers_(1978_film),1978,Aliens
Chelsea Quinn Yarbro  Two humans search for a way to survive in toxic wasteland Republished in 2001,Novel,False Dawn,,1978,Unspecified
Game from TSR Inc the makers of Dungeons  Dragons,Game,Gamma World,/wiki/Gamma_World,19782010,War
64,Film,Ravagers63,"/wiki/Ravagers_(1979_film),#cite_note-63",1979,War
Mostly futuristic in appearance but outside of the gleaming Utopian city lies apocalyptic ruins swarming with mutants,Television,Buck Rogers In The 25th Century,/wiki/Buck_Rogers_in_the_25th_Century_(TV_series),1979,War
David Graham,Novel,Down to a Sunless Sea,/wiki/Down_to_a_Sunless_Sea,1979,War
,Film,Meteor,/wiki/Meteor_(film),1979,Impact Event
,Film,Quintet,/wiki/Quintet_(film),1979,Eco
an Australian movie depicts a declining civilization,Film,Mad Max,/wiki/Mad_Max,1979,Human Decline
John Crowley  Civilization transformed several millennia past an unspecified collapse of civilization,Novel,Engine Summer,/wiki/Engine_Summer,1979,Unspecified
Douglas Adams,Novel,The Hitchhikers Guide to the Galaxy,/wiki/The_Hitchhiker%27s_Guide_to_the_Galaxy,19791992,Aliens
GamebookBy Edward Packard,Game,Choose Your Own Adventure,/wiki/Choose_Your_Own_Adventure,19791998,Technology
Larry Collins coauthor Dominique Lapierre,Novel,The Fifth Horseman,/wiki/The_Fifth_Horseman_(novel),1980,War
Russell Hoban,Novel,Riddley Walker,/wiki/Riddley_Walker,1980,War
HM Hoover,Novel,This Time of Darkness65,"/w/index.php?title=This_Time_of_Darkness_(novel)&action=edit&redlink=1,#cite_note-65",1980,War
James Rouch  chronicling the conflict between NATO and Warsaw Pact forces in Europe,Novel,The Zone,/wiki/The_Zone_(series),1980,War
Japanese film also known as Virus directed by Kinji Fukasaku,Film,Fukkatsu no hi,/wiki/Fukkatsu_no_hi,1980,Disease
L Ron Hubbard,Novel,Battlefield Earth,/wiki/Battlefield_Earth_(novel),1980,Aliens
Stephen King,Novel,The Mist,/wiki/The_Mist,1980,Aliens
Clifford D Simak,Novel,The Visitors,/wiki/The_Visitors_(novel),1980,Aliens
Gene Wolfe  Followed by The Claw of the Conciliator 1981 The Sword of the Lictor 1981 The Citadel of the Autarch 1982 and The Urth of the New Sun 1987,Novel,The Shadow of the Torturer,/wiki/The_Shadow_of_the_Torturer,1980,Sun
Events 2000 years after the disaster of 1994,Television,Thundarr the Barbarian,/wiki/Thundarr_the_Barbarian,19801982,Impact Event
Game from Timeline Ltd,Game,The Morrow Project,/wiki/The_Morrow_Project,19801983,War
,Film,Mad Max 2 The Road Warrior10,"/wiki/Mad_Max_2:_The_Road_Warrior,#cite_note-ReferenceA-10",1981,War
Film version directed by Christian de Chalonge Starring Michel Serrault Jacques Dutronc and JeanLouis Trintignant,Film,Malevil,/wiki/Malevil,1981,War
Jerry Ahern  Series First book 1981 Total War,Novel,The Survivalist,/wiki/The_Survivalist,1981,War
Game from Fantasy Games Unlimited,Game,Aftermath,/wiki/Aftermath!,1981,War
Series of seven books by Paul O Williams  first book 1981 The Breaking of Northwall A thousand years after a series of nuclear exchanges Republished in 2005,Novel,The Pelbar Cycle,/w/index.php?title=The_Pelbar_Cycle&action=edit&redlink=1,1981,War
Craig Harrison  Adapted into the 1985 movie of the same name,Novel,The Quiet Earth,/wiki/The_Quiet_Earth,1981,Eco
1981 adaptation of The Day of the Triffids by John Wyndham,Television,The Day of the Triffids 1981 TV series,/wiki/The_Day_of_the_Triffids_(1981_TV_series),1981,Social collapse
Nicholas Fisk,Novel,Robot Revolt,/w/index.php?title=Robot_Revolt&action=edit&redlink=1,1981,Technology
Story arc Days of Future Past by Chris Claremont  John Byrne,Novel,Uncanny XMen,/wiki/Uncanny_X-Men,1981,Technology
Postapocalyptic Italian film6667,Film,2020 Texas Gladiators13,"/w/index.php?title=2020_Texas_Gladiators&action=edit&redlink=1,#cite_note-books.google.co.uk-13",1982,War
Returning astronauts encounter bikers and mutants in a postnuclear setting Released as Zombie Aftermath in the UK68,Film,The Aftermath13,"/wiki/The_Aftermath_(film),#cite_note-books.google.co.uk-13",1982,War
Cyberpunk manga series by Katsuhiro Otomo published by Dark Horse Comics  about a group of young bikers in a postapocalyptic Tokyo who clash with the government and psychics with incredible power Adapted into a 1988 animated movie,Comic,Akira,/wiki/Akira_(manga),19821990,War
,Film,Human Highwaycitation needed,"/wiki/Human_Highway,/wiki/Wikipedia:Citation_needed",1982,War
A lowbudget Bmovie  an extremely loose adaptation of the novel She by H Rider Haggard starring Sandahl Bergman as a postcivilization warrior,Film,She69,"/wiki/She_(1982_film),#cite_note-69",1982,War
,Film,Warriors of the Wasteland13,"/wiki/Warriors_of_the_Wasteland_(film),#cite_note-books.google.co.uk-13",1982,War
,Television,Whoops Apocalypse,/wiki/Whoops_Apocalypse,1982,War
Frank Herbert,Novel,The White Plague,/wiki/The_White_Plague,1982,Disease
Created by Williams,Game,Robotron 2084,/wiki/Robotron:_2084,1982,Technology
The anime series and its sequels rewritten and combined with The Super Dimension Cavalry Southern Cross and Genesis Climber Mospeada to create Robotech which dealt similarly with postapocalyptic themes,Television,The Super Dimension Fortress Macross,/wiki/The_Super_Dimension_Fortress_Macross,19821983,Aliens
An Italian film set in 2019 featuring a mercenary out to rescue the last fertile woman on Earth,Film,2019 After the Fall of New York13,"/wiki/2019,_After_the_Fall_of_New_York,#cite_note-books.google.co.uk-13",1983,War
70,Film,Endgame13,"/wiki/Endgame_(1983_film),#cite_note-books.google.co.uk-13",1983,War
717273,Film,Exterminators of the Year 3000citation needed,"/w/index.php?title=Exterminators_of_the_Year_3000&action=edit&redlink=1,/wiki/Wikipedia:Citation_needed",1983,War
Luc Besson,Film,Le Dernier Combat74,"/wiki/Le_Dernier_Combat,#cite_note-74",1983,War
7576,Film,Stryker13,"/w/index.php?title=Stryker_(1983_film)&action=edit&redlink=1,#cite_note-books.google.co.uk-13",1983,War
,Film,Testament24,"/wiki/Testament_(film),#cite_note-ReferenceC-24",1983,War
Wanderer of a supersonic motorcycle becomes the saviour of misfits vs the Omegas,Film,Warrior of the Lost World13,"/wiki/Warrior_of_the_Lost_World,#cite_note-books.google.co.uk-13",1983,War
77,Film,Yor the Hunter from the Future,"/wiki/Yor,_the_Hunter_from_the_Future",1983,War
The effects of nuclear war on a Kansas town,Television,The Day After,/wiki/The_Day_After,1983,War
Patrick Tilley  series set at the end of the 3rd millennium,Novel,The Amtrak Wars,/wiki/The_Amtrak_Wars,1983,War
Series by William W Johnstone  first book 1983 Out of the Ashes,Novel,The Ashes78,"/wiki/William_W._Johnstone#The_Ashes_series,#cite_note-78",1983,War
Influential shonen manga series by Buronson and Tetsuo Hara  A warrior trained in a powerful martial arts style rights wrongs and battles evil warlords in a postapocalyptic world Inspired the landmark anime series a liveaction film and many games,Comic,Fist of the North Star,/wiki/Fist_of_the_North_Star,19831988,War
Sterling E Lanier  sequel is The Unforsaken Hiero 1985 A metis priestkillman quests across postapocalyptic northeastern North America seven thousand years in the future,Novel,Hieros Journey,/w/index.php?title=Hiero%27s_Journey&action=edit&redlink=1,1983,War
Gudrun Pausewang  Die Letzten Kinder Von Schewenborn in German,Novel,The Last Children of Schewenborn,/wiki/The_Last_Children_of_Schewenborn,1983,War
Dean Ing,Novel,Pulling Through,/w/index.php?title=Pulling_Through&action=edit&redlink=1,1983,War
William Prochnau,Novel,Trinitys Child,/wiki/Trinity%27s_Child,1983,War
Series by Hideyuki Kikuchi  first book 1983 Novels and later anime movies set ten thousand years after a nuclear war occurs in 1999,Novel,Vampire Hunter D,/wiki/Vampire_Hunter_D,1983,War
The anime series see also Robotech,Television,Genesis Climber Mospeada,/wiki/Genesis_Climber_Mospeada,19831984,Aliens
The television series,Television,V,/wiki/V_(science_fiction),19831985,Aliens
79,Film,Dark Enemycitation needed,"/w/index.php?title=Dark_Enemy&action=edit&redlink=1,/wiki/Wikipedia:Citation_needed",1984,War
In the Cell saga of Dragon Ball Z a time traveler arrives from a postapocalyptic future where two powerful killer androids have destroyed much of the world and attempts to stop the same thing from happening in the main timeline,Comic,Dragon Ball,/wiki/Dragon_Ball,19841995,Technology
After an atomic war Phillip Hammer and Marlowe Chandler have spent 15 years on their own in a bunker then they find the keys to the last MX missile8182,Film,Radioactive Dreams80,"/wiki/Radioactive_Dreams,#cite_note-80",1984,War
A Polish comedy,Film,Sexmisjacitation needed,"/wiki/Sexmisja,/wiki/Wikipedia:Citation_needed",1984,War
BBC Television Docudrama,Television,Threads,/wiki/Threads,1984,War
BBC adaptation of the 1975 novel of the same name,Television,Z for Zachariah,/wiki/Z_for_Zachariah,1984,War
Robert Swindells,Novel,Brother in the Land,/wiki/Brother_in_the_Land,1984,War
James D Forman,Novel,Doomsday Plus Twelve,/wiki/Doomsday_Plus_Twelve,1984,War
David R Palmer,Novel,Emergence,/wiki/Emergence_(novel),1984,War
D B Drumm  series First book First You Fight,Novel,Traveler,/w/index.php?title=Traveler_(novel_series)&action=edit&redlink=1,1984,War
Whitley Strieber coauthor James Kunetka,Novel,Warday,/wiki/Warday,1984,War
Octavia Butler,Novel,Clays Ark,/w/index.php?title=Clay%27s_Ark&action=edit&redlink=1,1984,Disease
When a comet passes too close to earth two girls are left amid mutants,Film,Night of the Comet,/wiki/Night_of_the_Comet,1984,Impact Event
Hayao Miyazaki  Based on the manga of the same name,Film,Nausica of the Valley of the Wind83,"/wiki/Nausica%C3%A4_of_the_Valley_of_the_Wind_(film),#cite_note-83",1984,Eco
Michael Swanwick  Also an alternate history Story  the 1979 Three Mile Island reactor incident resulted in a very large release of radioactivity devastating the Northeastern US,Novel,In the Drift,/w/index.php?title=In_the_Drift&action=edit&redlink=1,1984,Eco
An adaptation of the first two books in the trilogy by John Christopher,Television,The Tripods,/wiki/The_Tripods#TV_series,19841985,Aliens
Landmark postapocalyptic anime series based on the manga,Television,Fist of the North Star,/wiki/Fist_of_the_North_Star#TV_series,19841987,War
Game from Game Designers Workshop  set in a world where a SinoRussian war degenerates into a limited nuclear conflict that eventually drags in Europe and America,Game,Twilight 2000,/wiki/Twilight:_2000,19841993,War
Series of films dealing with a future devastated by a war between humans and machines the attempt of the machines to kill the hero of the human resistance in the past and the attempt of the hero and others to prevent this future from ever coming to pass,Film,Terminator,/wiki/Terminator_(franchise),19842009,Technology
,Film,DefCon 413,"/wiki/Def-Con_4,#cite_note-books.google.co.uk-13",1985,War
,Film,Mad Max Beyond Thunderdome13,"/wiki/Mad_Max_Beyond_Thunderdome,#cite_note-books.google.co.uk-13",1985,War
After civilization is wiped out by nuclear war an adventurer leads a group of wanderers on a search for the fabled Mountain of Life,Film,Warriors of the Apocalypse13,"/wiki/Warriors_of_the_Apocalypse,#cite_note-books.google.co.uk-13",1985,War
Louise Lawrence,Novel,Children of the Dust,/wiki/Children_of_the_Dust_(novel),1985,War
Denis Johnson,Novel,Fiskadoro,/w/index.php?title=Fiskadoro&action=edit&redlink=1,1985,War
